"ReportingCountry","DID_TOTAL_2019","DID_TOTAL_2020","DID_TOTAL_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.241338719,0.282457089,0.308508449,13,7,2,1884,894,1052
"MS14",0.138685235,0.124542285,0.068989085,13,8,1,986,706,747
"MS4",1.39228121,0.934498765,1.030956184,0,1,0,96,106,75
"MS13",0.305232212,0.236129523,0.295812812,164,0,28,4682,33,2981
"MS9",0.042865456,0.026934973,0.029133625,3,1,0,197,252,343
"MS10",0.067055446,0.089838833,0.061748975,0,0,0,153,95,130
"MS26",0.561834123,0.348275525,0.310126798,0,0,0,50,150,249
"MS20",0.714010566,0.645688858,0.597953102,8,7,7,1399,768,1002
"MS17",0.063564981,0.097327636,0.07603926,0,0,1,107,100,167
"MS12",1.018398643,0.629993866,1.037474306,20,4,6,842,713,833
"MS5",0.117596626,0.060917338,NA,0,1,NA,185,183,NA
"MS28",0.137053858,0.134971641,NA,0,0,NA,6,2,NA
"MS16",3.059287316,2.457889094,2.362894202,12,21,29,569,872,693
"MS15",0.170947828,NA,0.142326166,0,NA,0,601,NA,142
"MS24",0.176132596,0.169382046,0.153178358,0,0,0,131,90,116
"MS11",0.447095314,NA,NA,0,NA,NA,53,NA,NA
"MS8",0.74799102,0.655070534,0.419946958,4,2,0,113,164,205
"MS1",0.05949648,0.11045614,0.097191057,4,5,4,727,494,612
"MS19",0.134463487,0.105228594,0.131397048,1,1,1,216,232,200
"MS29",0.171864957,NA,0.50201908,26,NA,2,722,NA,75
"MS18",0.267595172,0.304422842,0.36425274,6,0,0,463,238,278
"MS25",1.952247102,1.387062954,2.210769545,2,0,0,148,36,25
"MS3",0.105268708,0.099008596,0.079636239,0,5,3,613,347,619
"MS30",0.148681674,0.23814876,0.125240503,0,4,6,358,185,176
"MS6",0.907637941,0.575205136,1.262766799,3,2,6,108,391,562
"MS21",NA,0.406415697,0.389917474,NA,0,27,NA,532,534
