"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_a_2019","NS_a_2020","NS_a_2021","Tested_a_2019","Tested_a_2020","Tested_a_2021"
"MS23",6.65082322,5.728003876,6.656670982,144,130,125,524,514,515
"MS14",30.6735708,41.94356,30.61408941,252,294,264,493,607,603
"MS22",17.06537369,25.9426913,32.16233841,122,115,113,204,204,200
"MS4",58.71951663,68.06119357,58.55222242,100,100,87,135,133,121
"MS27",12.74623999,13.78098996,16.09483229,181,167,131,502,508,373
"MS13",29.76069029,17.80155339,28.8839784,352,346,309,876,890,820
"MS9",5.736834968,5.28099078,4.791763966,166,180,152,528,534,346
"MS10",11.99231689,9.5022168,6.057736889,47,41,75,156,153,225
"MS26",12.76371686,19.59305051,10.12727241,233,216,182,316,316,243
"MS20",43.24735008,43.72755521,76.39613595,482,454,507,680,680,680
"MS17",0.454472374,0.483245281,0.482792944,34,29,24,347,344,340
"MS12",3.992008051,4.608864426,6.846348562,316,260,240,776,734,806
"MS7",22.6830839,17.88770483,16.36329038,93,101,79,254,254,255
"MS21",33.61270562,77.4105181,49.95217382,246,249,249,510,510,510
"MS5",5.085742386,7.481692938,6.414640686,135,130,114,370,340,340
"MS28",0.40796831,0.360779955,0.331242114,11,12,26,92,99,170
"MS16",56.18872162,102.0139234,74.24397161,464,435,395,678,678,680
"MS15",4.481516953,7.140883466,7.095974818,86,123,110,192,199,200
"MS11",6.233011615,6.703251793,5.38571349,94,89,85,352,302,302
"MS8",4.513609117,5.886848429,8.137106223,65,22,45,156,74,129
"MS1",8.788195103,5.895179894,9.37337168,175,227,256,807,903,911
"MS19",0.0651356,0.037191671,0.068506725,42,30,45,1013,966,973
"MS29",43.97911167,35.10005799,57.91954505,365,337,360,540,532,569
"MS18",50.78611341,36.50667423,28.50298702,449,435,275,623,628,406
"MS25",8.154865875,7.098737205,13.69331018,256,239,290,358,369,497
"MS3",0.261747258,0.567204132,0.469853721,66,65,78,418,390,409
"MS30",25.01408838,28.66636219,16.05504444,79,81,58,170,170,170
"MS6",6.957558053,8.091107442,8.573360539,111,111,104,170,169,169
"MS24",NA,2.942938116,4.915244594,NA,18,60,NA,39,207
