"ReportingCountry","PCU_ANIMALS_2020","NS_a_2020","Tested_a_2020"
"MS23",0.180352374,0,340
"MS14",0.382383261,0,260
"MS22",3.472024573,5,100
"MS2",0.06994656,0,208
"MS4",3.899888777,14,99
"MS27",0.201684499,0,195
"MS13",1.372980315,44,427
"MS9",0,0,172
"MS10",0.089381919,0,82
"MS26",0.319515615,2,170
"MS20",0.097590956,0,340
"MS17",0,0,170
"MS12",0.434849937,4,393
"MS7",1.26350075,0,85
"MS21",0.925696505,3,340
"MS5",0.00220605,0,170
"MS28",0,0,85
"MS16",0.122438131,0,340
"MS15",0,0,100
"MS24",0.053194758,0,2
"MS11",0.099882124,0,150
"MS8",0.118943474,0,3
"MS1",0.067554894,0,305
"MS19",0,0,367
"MS29",2.309475546,14,357
"MS18",1.735267484,5,298
"MS25",0.809625257,6,199
"MS3",0,0,216
"MS30",0.021621454,0,85
"MS6",0.448130991,0,84
