"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2021","NS_a_2019","NS_a_2021","Tested_a_2019","Tested_a_2021"
"MS14",0.457986509,0.346050746,5,0,103,45
"MS13",1.366960616,1.152850941,0,0,15,30
"MS9",0.000210228,0,0,1,125,92
"MS20",0.017646118,0.008871606,5,0,166,170
"MS12",0.495981281,0.430291369,6,0,204,95
"MS7",0.500063242,1.127752678,0,0,46,31
"MS21",1.894394173,1.795027445,0,3,30,80
"MS5",0,0,0,0,62,123
"MS28",3.951092057,3.66044962,0,0,10,3
"MS16",0.00185793,0,0,1,197,91
"MS8",0.098701734,0.064139768,0,0,10,59
"MS1",0,0.077784681,0,0,23,63
"MS29",0,0,0,2,20,48
"MS18",3.543111662,1.72099029,1,0,17,19
"MS23",NA,0.644761172,NA,0,NA,7
"MS22",NA,1.359431107,NA,0,NA,14
"MS4",NA,4.061844123,NA,0,NA,3
"MS10",NA,0.040780959,NA,0,NA,11
"MS15",NA,0.200056001,NA,0,NA,17
"MS24",NA,0.000192165,NA,0,NA,37
"MS11",NA,0.197879273,NA,2,NA,42
"MS25",NA,2.808889509,NA,0,NA,104
"MS30",NA,0.300911473,NA,0,NA,18
"MS6",NA,1.068170409,NA,0,NA,12
