"ReportingCountry","PR_a_2019","PR_a_2021","NS_2019","NS_2021","Tested_2019","Tested_2021"
"MS14",0.0116279069767442,0.023121387283237,419,402,3937,4721
"MS7",0,0,205,146,1085,726
"MS9",0,0,441,393,5091,5416
"MS12",0,0.0110497237569061,1325,1578,13019,18735
"MS13",0.0276497695852535,0.0147783251231527,2827,2793,23413,29021
"MS16",0.0473372781065089,0.0411764705882353,5818,5077,18409,21153
"MS1",0,0.0130718954248366,600,479,7300,6575
"MS19",0.00636942675159236,0.0138888888888889,235,231,4075,3839
"MS18",0.00574712643678161,0.0566037735849057,1166,783,6390,5615
"MS25",NA,0.00775193798449612,NA,89,NA,495
"MS20",0.0176470588235294,0,1239,964,8345,7319
"MS3",NA,0,NA,818,NA,10633
