"ReportingCountry","PR_a_2021","PR_a_2019","NS_2021","NS_2019","Tested_2021","Tested_2019"
"MS23",0.0171428571428571,0.0114942528735632,507,584,5537,6106
"MS14",0,0,436,417,4721,3937
"MS22",0.02,0,98,155,263,352
"MS7",0,0.0117647058823529,144,182,726,1085
"MS4",0.0454545454545455,0,49,22,192,92
"MS27",0.0168539325842697,0.00958466453674121,486,605,2934,3557
"MS9",0.0153846153846154,0,374,427,5416,5091
"MS10",0.020979020979021,0.028169014084507,94,104,929,910
"MS17",0,0.0172413793103448,402,477,5799,5413
"MS12",0.00862068965517241,0,1620,1271,18735,13019
"MS13",0,0.024390243902439,2768,2832,29021,23413
"MS26",0,0.0136986301369863,144,43,727,190
"MS21",0.0176470588235294,0,485,483,2470,2413
"MS28",0.0117647058823529,0,37,23,278,257
"MS5",0,0.00588235294117647,337,466,2903,3231
"MS16",0,0.0177514792899408,5288,5939,21153,18409
"MS11",0.0197368421052632,0,70,96,393,442
"MS15",0.01,0,165,188,1153,1132
"MS24",0,0,37,73,354,492
"MS8",0,0,36,70,299,332
"MS1",0,0,476,573,6575,7300
"MS19",0,0,245,265,3839,4075
"MS29",0.00943396226415094,0,461,486,2371,2803
"MS18",0.0181818181818182,0.0769230769230769,808,1051,5615,6390
"MS25",0.0414201183431953,0.0235294117647059,88,145,495,664
"MS6",0,0,154,220,649,846
"MS30",0.0470588235294118,0.0235294117647059,173,158,1681,1610
"MS20",0.00588235294117647,0.0176470588235294,987,1145,7319,8345
"MS3",0.00578034682080925,0,810,745,10633,9419
