"ReportingCountry","PR_a_2020","PR_a_2021","PR_a_2019","NS_2020","NS_2021","NS_2019","Tested_2020","Tested_2021","Tested_2019"
"MS23",0.0166666666666667,0.00555555555555556,0,8,4,12,894,1052,1884
"MS14",0,0,0,8,1,10,706,747,986
"MS4",0,0,0,0,0,0,106,75,96
"MS9",0,0,0,0,2,3,252,343,197
"MS10",NA,0,NA,NA,0,NA,NA,130,NA
"MS12",0,0,0,4,6,16,713,833,842
"MS13",0,0,0,0,36,152,33,2981,4682
"MS26",0,0,0,0,0,0,150,249,50
"MS21",0,0.0285714285714286,NA,1,16,NA,532,534,NA
"MS28",0,NA,NA,0,NA,NA,2,NA,NA
"MS5",0,NA,0,1,NA,0,183,NA,185
"MS16",0.0654044750430293,0.04,0.0953678474114441,14,33,3,872,693,569
"MS15",NA,0,NA,NA,0,NA,NA,142,NA
"MS24",NA,0,NA,NA,0,NA,NA,116,NA
"MS8",0.0806451612903226,0.0720720720720721,0.04,1,0,2,164,205,113
"MS1",0.130434782608696,0,NA,7,4,NA,494,612,NA
"MS29",NA,0.0143884892086331,0.0148148148148148,NA,0,22,NA,75,722
"MS18",0,0,0,0,1,4,238,278,463
"MS25",0,0.0255474452554745,0.00588235294117647,0,0,7,36,25,148
"MS6",0,0,0,2,4,6,391,562,108
"MS30",0,0,0,3,8,0,185,176,358
"MS20",0,0,0.00197628458498024,6,4,10,768,1002,1399
