"ReportingCountry","PCU_ANIMALS_2019","PCU_ANIMALS_2020","PCU_ANIMALS_2021","NS_2019","NS_2020","NS_2021","Tested_2019","Tested_2020","Tested_2021"
"MS23",0.464294545845824,0.535162949480098,0.68653941777956,684,196,193,1884,894,1052
"MS14",0.587394748222169,0.70650764457934,0.311313501986515,256,127,78,986,706,747
"MS4",1.82423256910945,2.54174989963791,3.19345297909079,12,27,15,96,105,75
"MS9",0.200228742568597,0.301181719036056,0.185932966681467,18,13,33,197,252,343
"MS10",0.781773070947645,1.07931961970474,0.559425648120238,40,12,33,153,95,130
"MS17",0.105322778798077,0.0961436522522259,0.104538837399525,9,7,42,107,100,167
"MS12",0.335426575193774,0.311086322362453,0.353297297499748,127,82,110,842,713,833
"MS13",0.518087335914042,0.793962965938956,0.782193579067674,579,2,368,4682,33,2986
"MS26",6.5865029101872,3.45125137901372,3.89437979937955,10,5,28,50,166,249
"MS21",NA,14.3143517890193,19.3635436981298,NA,68,75,NA,382,531
"MS28",0.00281417688752123,0.00428092869126481,0.00413630870288839,5,3,5,27,21,48
"MS5",0.382082874160367,0.265817790968436,NA,18,23,NA,185,182,NA
"MS16",2.75197044887596,2.08202201028038,2.22265076169748,86,87,85,569,872,693
"MS11",0.594669408161491,0.884795413748381,1.21920974011464,11,0,0,74,18,8
"MS15",0.992171506725825,NA,1.01235880315275,76,NA,32,589,NA,201
"MS24",1.03446747557693,0.947433082686714,0.693020205257887,6,3,25,131,90,116
"MS8",10.9838162597494,4.25383339110098,9.81415646180673,10,2,19,113,32,205
"MS1",1.0898550970061,0.846348506079841,0.913917750497678,120,83,65,727,494,612
"MS19",0.0290845941777891,0.0744858591693968,0.0337358695272872,38,33,24,216,232,200
"MS29",14.2411506190791,NA,9.65051953339084,113,NA,68,529,NA,75
"MS18",8.01642188358447,8.00913317038284,6.24180773229427,27,16,42,463,238,278
"MS25",3.53086454983914,6.05961037775546,6.84912870521049,29,16,9,148,36,25
"MS6",2.52197233336053,5.06367308456779,3.20042498074113,79,54,167,317,403,606
"MS30",1.98126428308664,0.85331881709846,0.855856211860021,49,43,43,358,183,175
"MS20",3.13922555032848,3.22119443895757,3.56823317375115,184,78,222,1404,768,1002
"MS3",0.0461102327182892,0.0924912297077829,0.0884230719563158,64,28,46,613,347,619
